DEM2,EXP1,EXP1A,EXP2,EXP3,Question,Scores
45-54 years old,Yes,"Smarthub (Amazon Echo, Apple Homehub, Google Nest)",No,Yes,RFCD,2
25-34 years old,Yes,"Smarthub (Amazon Echo, Apple Homehub, Google Nest)",No,Yes,OIRA,4
25-34 years old,Yes,"Smarthub (Amazon Echo, Apple Homehub, Google Nest)",No,Yes,OIRAB,3
25-34 years old,Yes,"Smarthub (Amazon Echo, Apple Homehub, Google Nest)",No,Yes,OIRA,4
25-34 years old,Yes,"Smarthub (Amazon Echo, Apple Homehub, Google Nest)",No,Yes,OIRAB,3
25-34 years old,Yes,"Smarthub (Amazon Echo, Apple Homehub, Google Nest)",No,Yes,OIRA,4
25-34 years old,Yes,"Smarthub (Amazon Echo, Apple Homehub, Google Nest)",No,Yes,OIRAB,3
25-34 years old,Yes,"Smarthub (Amazon Echo, Apple Homehub, Google Nest)",No,Yes,OIRA,5
25-34 years old,Yes,"Smarthub (Amazon Echo, Apple Homehub, Google Nest)",No,Yes,OIRAB,3
25-34 years old,Yes,"Smarthub (Amazon Echo, Apple Homehub, Google Nest)",No,Yes,OIRA,2
